rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
15,LA Breakers FC ECNL G2010/11,LA Breakers FC,82166,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
16,Eagles SC ECNL G2010/11,Eagles SC,62045,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
17,Beach Futbol Club (CA) ECNL G2010/11,Beach Futbol Club,131922,0,0,0,0,0,0.0,0,0,0,GU16,ECNL
1,Pateadores Soccer Club ECNL G2009/10,Pateadores Soccer Club,130975,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
2,Utah Royals FC-AZ ECNL G2009/10,Utah Royals FC - AZ,62330,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
3,Sporting California USA ECNL G2009/10,Sporting California USA,134094,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
4,So Cal Blues ECNL G2009/10,So Cal Blues,135896,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
5,Slammers FC HB Koge ECNL G2009/10,Slammers FC,133599,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
6,SLAMMERS FC ECNL G2009/10,Slammers FC,64956,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
7,San Diego Surf ECNL G2009/10,San Diego Surf Soccer Club,132459,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
8,Rebels SC ECNL G2009/10,Rebels Soccer Club,21001,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
9,Phoenix Rising FC ECNL G2009/10,Phoenix Rising FC,68888,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
10,Arizona Arsenal ECNL G2009/10,Arizona Arsenal Soccer Club,134278,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
11,LV Heat Surf ECNL G2009/10,LV Heat Surf SC ,42984,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
12,Legends FC Del Mar ECNL G2009/10,Legends FC - Del Mar,131719,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
13,Legends FC (CA) ECNL G2009/10,Legends FC (CA),133022,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
14,LAFC So Cal ECNL G2009/10,LAFC So Cal,133709,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
15,LA Breakers FC ECNL G2009/10,LA Breakers FC,68845,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
16,Eagles SC ECNL G2009/10,Eagles SC,5544,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
17,Beach Futbol Club (CA) ECNL G2009/10,Beach Futbol Club,131921,0,0,0,0,0,0.0,0,0,0,GU17,ECNL
1,Pateadores Soccer Club ECNL G2008/09,Pateadores Soccer Club,130900,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
2,Utah Royals FC AZ ECNL G2008/09,Utah Royals FC - AZ,56530,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
