rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
3,Connecticut FC ECNL GU15,Connecticut FC,24089,16,11,3,2,35,2.19,31,13,18,GU15,Flight 1
4,SUSA FC ECNL GU15,SUSA FC,33738,16,10,3,3,33,2.06,40,16,24,GU15,Flight 1
5,Scorpions Soccer ECNL GU15,No Club Selection,35282,16,8,8,0,24,1.5,23,18,5,GU15,Flight 1
6,FC Stars White ECNL GU15,FC Stars,20345,16,5,10,1,16,1.0,17,28,-11,GU15,Flight 1
7,PDA White ECNL GU15,PDA White (Shore),6860,16,5,10,1,16,1.0,23,34,-11,GU15,Flight 1
8,East Meadow SC ECNL GU15,East Meadow Soccer Club,35274,16,1,14,1,4,0.25,5,42,-37,GU15,Flight 1
9,FSA FC ECNL GU15,FSA FC,14745,16,0,15,1,1,0.06,9,59,-50,GU15,Flight 1
1,World Class FC ECNL GU16,World Class FC,20357,16,15,0,1,46,2.88,38,6,32,GU16,Flight 1
2,Connecticut FC ECNL GU16,Connecticut FC,11478,16,11,4,1,34,2.13,35,20,15,GU16,Flight 1
3,SUSA FC ECNL GU16,SUSA FC,20356,16,9,3,4,31,1.94,26,10,16,GU16,Flight 1
4,FC Stars Blue ECNL GU16,FC Stars,19892,16,6,7,3,21,1.31,18,20,-2,GU16,Flight 1
5,Scorpions Soccer ECNL GU16,Scorpions SC,20355,16,6,8,2,20,1.25,19,24,-5,GU16,Flight 1
6,East Meadow SC ECNL GU16,East Meadow Soccer Club,35275,16,5,7,4,19,1.19,17,17,0,GU16,Flight 1
7,PDA White ECNL GU16,Players Development Academy,1827,16,3,8,5,14,0.88,15,33,-18,GU16,Flight 1
8,FC Stars White ECNL GU16,FC Stars,11665,16,3,12,1,10,0.63,15,37,-22,GU16,Flight 1
9,FSA FC ECNL GU16,FSA FC,9180,16,2,11,3,9,0.56,14,30,-16,GU16,Flight 1
1,World Class FC ECNL GU17,World Class FC,12262,16,14,1,1,43,2.69,47,10,37,GU17,Flight 1
2,FC Stars Blue ECNL GU17,FC Stars,19893,16,11,2,3,36,2.25,40,11,29,GU17,Flight 1
3,PDA White ECNL GU17,Players Development Academy,1866,16,8,5,3,27,1.69,19,18,1,GU17,Flight 1
4,Scorpions Soccer ECNL GU17,Scorpions SC,12257,16,7,5,4,25,1.56,27,19,8,GU17,Flight 1
5,SUSA FC ECNL GU17,SUSA FC,19410,16,7,6,3,24,1.5,25,23,2,GU17,Flight 1
6,FC Stars White ECNL GU17,FC Stars,7119,16,6,8,2,20,1.25,15,26,-11,GU17,Flight 1
7,Connecticut FC ECNL GU17,Connecticut FC,12258,16,3,8,5,14,0.88,13,18,-5,GU17,Flight 1
8,FSA FC ECNL GU17,FSA FC,12259,16,3,11,2,11,0.69,12,28,-16,GU17,Flight 1
9,East Meadow SC ECNL GU17,East Meadow Soccer Club,12266,16,1,14,1,4,0.25,14,59,-45,GU17,Flight 1
1,FC Stars Blue ECNL GU18/U19,FC Stars,19894,15,12,1,2,38,2.53,34,10,24,GU18/U19,Flight 1
2,SUSA FC ECNL GU18/19,SUSA FC,19409,16,13,2,1,40,2.5,53,10,43,GU18/U19,Flight 1
3,Connecticut FC ECNL GU18/U19,Connecticut FC,7542,15,11,2,2,35,2.33,38,17,21,GU18/U19,Flight 1
4,East Meadow SC ECNL GU18/U19,East Meadow Soccer Club,11575,16,10,3,3,33,2.06,30,18,12,GU18/U19,Flight 1
5,Scorpions Soccer ECNL GU18/U19,Scorpions SC,7257,16,6,9,1,19,1.19,21,29,-8,GU18/U19,Flight 1
6,World Class FC ECNL GU18/19,World Class FC,11573,16,4,11,1,13,0.81,15,29,-14,GU18/U19,Flight 1
7,FC Stars White ECNL GU18/U19,FC Stars,1597,16,3,11,2,11,0.69,11,41,-30,GU18/U19,Flight 1
8,PDA White ECNL GU18/U19,Players Development Academy,1774,16,2,10,4,10,0.63,13,31,-18,GU18/U19,Flight 1
9,FSA FC ECNL GU18/U19,FSA FC,11571,16,1,13,2,5,0.31,12,42,-30,GU18/U19,Flight 1
